u001,p1001,c11,pv,2021-05-08 13:11:11
u002,p1001,c11,pv,2021-05-08 13:11:11
u003,p1001,c11,pv,2021-05-08 13:11:11
u003,p1001,c11,cart,2021-05-08 13:11:11
u011,p2222,c22,pv,2021-05-08 13:11:11
u012,p2222,c22,pv,2021-05-08 13:11:11
u012,p2222,c22,pv,2021-05-08 13:12:11
u001,p1001,c11,pv,2021-05-08 13:12:11
u002,p1001,c11,pv,2021-05-08 13:12:11
u003,p1001,c11,pv,2021-05-08 13:12:11
u003,p1001,c11,cart,2021-05-08 13:12:11
u011,p2222,c22,pv,2021-05-08 13:12:11
u012,p2222,c22,pv,2021-05-08 13:12:11
u011,p2222,c22,pv,2021-05-08 13:13:01
